,Mural,Microglia,GlutamatergicNeuron,Endothelial_Stalk,GABAergicNeuron,Choroid_Plexus,Astrocyte,Gja1,Oligodendroyte,Polydendrocyte,Endothelial_Tip,Oligodendrocyte
mean_wt,0.0016,0.0013,0.5457,0.0143,0.2945,0.0015,0.0881,0.0305,0.017,0.0024,0.0029,2e-04
mean_hom,0.0022,0.003,0.5707,0.0156,0.2605,0.0026,0.0935,0.0265,0.0199,0.0023,0.003,2e-04
pValue,0.0275,0.0377,0.0837,0.0842,0.1473,0.2497,0.3235,0.3249,0.3272,0.4728,0.7402,0.7865
wt1,0.0013,5e-04,0.5165,0.0138,0.3444,0,0.0819,0.0225,0.0129,0.0023,0.0035,4e-04
wt2,0.0012,6e-04,0.5457,0.0136,0.2979,0.001,0.0835,0.036,0.0163,0.0022,0.002,0
wt3,0.0018,0.0034,0.581,0.0142,0.2332,0.0042,0.095,0.0365,0.0257,0.0031,0.0019,1e-04
wt4,0.0021,5e-04,0.5357,0.0149,0.3095,0.0021,0.0882,0.0263,0.0143,0.0024,0.0038,2e-04
wt5,0.0015,0.0014,0.5498,0.015,0.2875,3e-04,0.0917,0.0313,0.0159,0.0022,0.0033,1e-04
hom6,0.0027,0.0031,0.5633,0.0177,0.2558,0.0029,0.1071,0.0174,0.0231,0.0031,0.0038,2e-04
hom7,0.0023,0.0045,0.5804,0.0162,0.2369,0.0022,0.1063,0.0201,0.0258,0.0022,0.0028,2e-04
hom8,0.0023,0.0035,0.5633,0.0163,0.2584,0.0035,0.0933,0.0333,0.0205,0.0026,0.0028,1e-04
hom9,0.0019,0.0019,0.5532,0.0143,0.2979,0.0017,0.0824,0.0258,0.015,0.002,0.0036,3e-04
hom10,0.0019,0.0034,0.5979,0.0143,0.2368,0.0034,0.0888,0.0306,0.0179,0.0017,0.0031,3e-04
hom11,0.0018,0.0019,0.5664,0.0146,0.2774,0.0018,0.0829,0.032,0.0172,0.002,0.0021,0
